name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.209122;0.0;0.939186;0.0
conv1_train-0;0.20946425;0.0;0.93949725;0.0
conv1_train-70874;0.2072195;0.0;0.93965425;0.0
conv1_train-42348;0.3000305;0.0;0.879381;0.0
conv1_train2-35640;0.348476;0.0;0.848714;0.0
conv1_train2-13323;0.2065975;0.0;0.93944725;0.0
conv1_train2-62766;0.20764275;0.0;0.9392275;0.0
conv1_train2-49881;0.208851;0.0;0.93950675;0.0
conv1_train2-0;0.21682825;0.0;0.9372335;0.0
conv1_train_on_endstate-5467;0.208524;0.0;0.93950125;0.0
conv1_train_on_endstate-10068;0.78870525;0.0;0.94117525;0.0
conv1_train_on_endstate-2244;0.207589;0.0;0.9393755;0.0
conv1_train_on_endstate-0;0.2094495;0.0;0.93924675;0.0
conv1_train_on_endstate_2-510;0.792409;0.0;0.94553625;0.0
conv1_train_on_endstate_2-1218;0.7918685;0.0;0.94545475;0.0
conv1_train_on_endstate_2-803;0.7918465;0.0;0.94544575;0.0
conv1_train_on_endstate_2-0;0.791137;0.0;0.94578225;0.0
conv1_train_on_endstate_3-9960;0.20793525;0.0;0.93946025;0.0
conv1_train_on_endstate_3-11522;0.20814025;0.0;0.93944;0.0
conv1_train_on_endstate_3-11366;0.2082935;0.0;0.93928225;0.0
conv1_train_on_endstate_3-0;0.2098835;0.0;0.939519;0.0
conv1_train_on_endstate_4-10358;0.207879;0.0;0.9393335;0.0
conv1_train_on_endstate_4-2826;0.20860725;0.0;0.9393405;0.0
conv1_train_on_endstate_4-3785;0.2069015;0.0;0.93929525;0.0
conv1_train_on_endstate_4-13590;0.208183;0.0;0.9392375;0.0
conv1_train_on_endstate_4-11366;0.206702;0.0;0.939327;0.0
conv1_train_on_endstate_4-0;0.23849225;0.0;0.87269675;0.0
conv1_train_on_endstate_5-19211;0.20796275;0.0;0.939355;0.0
conv1_train_on_endstate_5-23229;0.78564125;0.0;0.94490875;0.0
conv1_train_on_endstate_5-18360;0.2080425;0.0;0.93929525;0.0
conv1_train_on_endstate_5-5023;0.73039175;0.0;0.89546;0.0
conv1_train_on_endstate_5-11366;0.2083905;0.0;0.9394555;0.0
conv1_train_on_endstate_5-0;0.208555;0.0;0.9393345;0.0
conv1_train_grok-0;0.24271475;0.0;0.884184;0.0
conv1_train_grok2-0;0.209411;0.0;0.93949725;0.0
conv1_train_grok3_0-0;0.2072195;0.0;0.93965425;0.0
conv1_train_grok3_1-0;0.20812575;0.0;0.9394295;0.0
conv1_train_grok3_1-9911;0.61202375;0.0;0.84706875;0.0
conv1_train_grok3_1-26668;0.43744825;0.0;0.78512625;0.0
conv1_train_grok3_1-31198;0.25160525;0.0;0.90044625;0.0
nca1_train-5073359;0.82591625;0.0;0.98513225;0.0039
nca1_train-2782119;0.82765825;0.0;0.98804;0.0113
nca1_train-5782119;0.823399;0.0;0.9891765;0.0171
nca1_train-3605196;0.8195905;0.0;0.98723675;0.0081
nca1_train-0;0.787831;0.0;0.9455015;0.0
nca1_train-4540156;0.819976;0.0;0.987354;0.0062
nca1_train-16157077;0.8184465;0.0;0.99048775;0.0379
nca1_train-22215718;0.81804175;0.0;0.990528;0.0376
nca1_train-6384033;0.82441775;0.0;0.988517;0.0133
nca1_train-18836238;0.8184525;0.0;0.98924675;0.0201
nca1_train-9315914;0.824702;0.0;0.9869125;0.0081
nca1_train-37494118;0.820552;0.0;0.987579;0.0105
nca1_train-40247519;0.827851;0.0;0.98732125;0.0126
nca1_train-40314077;0.82562025;0.0;0.98798225;0.0135
nca1_train-40257477;0.81961875;0.0;0.98851375;0.0107
nca1_train-40247945;0.81894975;0.0;0.9884455;0.0124
nca1_train-40257478;0.81887625;0.0;0.98859925;0.0116
nca1_train-40274678;0.82048075;0.0;0.987187;0.008
nca1_train-40969034;0.82203;0.0;0.98958675;0.0184
nca1_train-41054671;0.82018525;0.0;0.987596;0.0104
nca1_train-41214078;0.819105;0.0;0.98789525;0.0141
nca1_train-41731798;0.82764;0.0;0.9863855;0.0077
nca1_train-43074918;0.82628825;0.0;0.988577;0.0156
nca1_train-43513877;0.8201395;0.0;0.99103625;0.0403
nca1_train-43513878;0.8193215;0.0;0.99096875;0.0438
nca1_train-46601955;0.82711425;0.0;0.985924;0.0098
nca1_train-50928276;0.82063925;0.0;0.984829;0.0131
nca1_train-54322118;0.82362;0.0;0.98673275;0.0069
nca1_train-56161238;0.82635425;0.0;0.98700975;0.0087
nca1_train-73778677;0.81962475;0.0;0.9872715;0.0117
nca1_train2-3982903;0.819506;0.0;0.9896545;0.0321
nca1_train2-4654079;0.820775;0.0;0.98587;0.0043
nca1_train2-7449998;0.81858625;0.0;0.9853575;0.0036
nca1_train2-2949998;0.824474;0.0;0.9838275;0.0023
nca1_train2-6069419;0.82111;0.0;0.98994625;0.0276
nca1_train2-0;0.59708225;0.0;0.8863615;0.0
nca1_train2-5298779;0.82492675;0.0;0.98245125;0.0021
nca1_train3-7412272;0.74519125;0.0;0.96996575;0.0005
nca1_train3-4788118;0.81815925;0.0;0.98308825;0.0019
nca1_train3-8040757;0.793667;0.0;0.9719725;0.0001
nca1_train3-3540757;0.75061125;0.0;0.971068;0.0007
nca1_train3-5488439;0.82018625;0.0;0.98538;0.0027
nca1_train3-0;0.73176875;0.0;0.88698275;0.0
nca1_train3-5498097;0.824215;0.0;0.98247125;0.002
nca1_train4-6725688;0.80315625;0.0;0.9828415;0.002
nca1_train4-6491757;0.818994;0.0;0.98690125;0.0068
nca1_train4-7278139;0.8174745;0.0;0.9842175;0.0022
nca1_train4-2778139;0.825289;0.0;0.9828565;0.0022
nca1_train4-5559599;0.81909275;0.0;0.986201;0.0046
nca1_train4-0;0.760881;0.0;0.9183805;0.0
nca1_train4-5442655;0.812102;0.0;0.98280125;0.0022
nca1_train_on_endstate-1093260;0.7030855;0.0;0.94558675;0.0
nca1_train_on_endstate-1341780;0.71739625;0.0;0.94756025;0.0
nca1_train_on_endstate-4500000;0.27048725;0.0;0.94037125;0.0
nca1_train_on_endstate-255239;0.286605;0.0;0.94083775;0.0
nca1_train_on_endstate-0;0.7289465;0.0;0.87228875;0.0
nca1_train_on_endstate-55200;0.33985225;0.0;0.943513;0.0
nca1_train_on_endstate2-911050;0.3281885;0.0;0.94213525;0.0
nca1_train_on_endstate2-3517300;0.7829555;0.0;0.95169525;0.0
nca1_train_on_endstate2-3750000;0.72496975;0.0;0.946653;0.0
nca1_train_on_endstate2-3516199;0.7483935;0.0;0.94792575;0.0
nca1_train_on_endstate2-0;0.7432665;0.0;0.90655225;0.0
nca1_train_on_endstate2-918000;0.2481825;0.0;0.93965975;0.0
nca1_train_on_endstate3-4158882;0.814913;0.0;0.9875995;0.0278
nca1_train_on_endstate3-4199399;0.8169615;0.0;0.98785825;0.0318
nca1_train_on_endstate3-4744361;0.8113495;0.0;0.98124675;0.0049
nca1_train_on_endstate3-994361;0.816867;0.0;0.9851265;0.0087
nca1_train_on_endstate3-0;0.790707;0.0;0.94568875;0.0
nca1_train_on_endstate3-3944949;0.81763675;0.0;0.98922525;0.0444
nca_feedback_train-4473412;0.82621975;0.0;0.98928875;0.0262
nca_feedback_train-4173176;0.818461;0.0;0.988911;0.0108
nca_feedback_train-5520971;0.823592;0.0;0.98375525;0.0018
nca_feedback_train-1020971;0.8174625;0.0;0.98534275;0.0031
nca_feedback_train-4173179;0.8205435;0.0;0.988898;0.0133
nca_feedback_train-0;0.2065975;0.0;0.93944725;0.0
nca_feedback_train-4076399;0.82696625;0.0;0.98523375;0.0046
