name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.761027;0.0;0.77549075;0.0
conv1_train-0;0.74799625;0.0;0.7673835;0.0
conv1_train-70874;0.59821475;0.0;0.737907;0.0
conv1_train-42348;0.76310475;0.0;0.7780445;0.0
conv1_train2-35640;0.7420925;0.0;0.75863575;0.0
conv1_train2-13323;0.762586;0.0;0.7768105;0.0
conv1_train2-62766;0.76086625;0.0;0.77659475;0.0
conv1_train2-49881;0.7006025;0.0;0.74947875;0.0
conv1_train2-0;0.76431325;0.0;0.77775675;0.0
conv1_train_on_endstate-5467;0.76231375;0.0;0.7763595;0.0
conv1_train_on_endstate-10068;0.25448025;0.0;0.7642365;0.0
conv1_train_on_endstate-2244;0.76404775;0.0;0.7774865;0.0
conv1_train_on_endstate-0;0.7171855;0.0;0.69202075;0.0
conv1_train_on_endstate_2-510;0.236216;0.0;0.76840475;0.0
conv1_train_on_endstate_2-1218;0.235501;0.0;0.76877975;0.0
conv1_train_on_endstate_2-803;0.23454175;0.0;0.7695355;0.0
conv1_train_on_endstate_2-0;0.23565725;0.0;0.76865975;0.0
conv1_train_on_endstate_3-9960;0.76354975;0.0;0.77713375;0.0
conv1_train_on_endstate_3-11522;0.76405275;0.0;0.77775725;0.0
conv1_train_on_endstate_3-11366;0.76290325;0.0;0.776952;0.0
conv1_train_on_endstate_3-0;0.29611;0.0;0.74826625;0.0
conv1_train_on_endstate_4-10358;0.764031;0.0;0.7774445;0.0
conv1_train_on_endstate_4-2826;0.766401;0.0;0.77922425;0.0
conv1_train_on_endstate_4-3785;0.7638125;0.0;0.77731825;0.0
conv1_train_on_endstate_4-13590;0.7633225;0.0;0.7772385;0.0
conv1_train_on_endstate_4-11366;0.76445725;0.0;0.7784785;0.0
conv1_train_on_endstate_4-0;0.5398755;0.0;0.6787505;0.0
conv1_train_on_endstate_5-19211;0.7632715;0.0;0.776937;0.0
conv1_train_on_endstate_5-23229;0.55314775;0.0;0.72943425;0.0
conv1_train_on_endstate_5-18360;0.76482825;0.0;0.77822;0.0
conv1_train_on_endstate_5-5023;0.26549325;0.0;0.75950475;0.0
conv1_train_on_endstate_5-11366;0.76267225;0.0;0.777126;0.0
conv1_train_on_endstate_5-0;0.720629;0.0;0.690747;0.0
conv1_train_grok-0;0.75341525;0.0;0.774251;0.0
conv1_train_grok2-0;0.76416275;0.0;0.77790625;0.0
conv1_train_grok3_0-0;0.76387475;0.0;0.77694;0.0
conv1_train_grok3_1-0;0.7648895;0.0;0.778616;0.0
conv1_train_grok3_1-9911;0.65229175;0.0;0.687125;0.0
conv1_train_grok3_1-26668;0.45919575;0.0;0.66365725;0.0
conv1_train_grok3_1-31198;0.76254675;0.0;0.77716;0.0
nca1_train-5073359;0.9041335;0.0004;0.96000625;0.0289
nca1_train-2782119;0.90430175;0.0008;0.96162;0.0192
nca1_train-5782119;0.9018355;0.0002;0.95291425;0.0133
nca1_train-3605196;0.903928;0.001;0.958107;0.0182
nca1_train-0;0.24665325;0.0;0.7679745;0.0
nca1_train-4540156;0.88190375;0.0012;0.965647;0.0203
nca1_train-16157077;0.814654;0.0007;0.946974;0.0308
nca1_train-22215718;0.76060475;0.0007;0.94579575;0.0146
nca1_train-6384033;0.9062935;0.0013;0.95856075;0.024
nca1_train-18836238;0.8671155;0.0011;0.95102625;0.0223
nca1_train-9315914;0.90591075;0.0018;0.96966525;0.0329
nca1_train-37494118;0.80806475;0.0006;0.95901725;0.0199
nca1_train-40247519;0.90288025;0.0008;0.95683025;0.0217
nca1_train-40314077;0.9052915;0.0009;0.95899925;0.031
nca1_train-40257477;0.81091575;0.0009;0.951636;0.0224
nca1_train-40247945;0.88238975;0.0011;0.9639105;0.0291
nca1_train-40257478;0.806491;0.0009;0.95033075;0.0201
nca1_train-40274678;0.87562375;0.0013;0.962548;0.0354
nca1_train-40969034;0.8962995;0.0011;0.96474125;0.0327
nca1_train-41054671;0.894217;0.0007;0.96187475;0.0273
nca1_train-41214078;0.79998425;0.0008;0.95879675;0.0214
nca1_train-41731798;0.90126575;0.0007;0.96581425;0.0302
nca1_train-43074918;0.9080445;0.0013;0.9624095;0.0292
nca1_train-43513877;0.8394675;0.0012;0.9501575;0.0238
nca1_train-43513878;0.84638075;0.0012;0.95157825;0.0254
nca1_train-46601955;0.903463;0.0008;0.96179125;0.0266
nca1_train-50928276;0.90584525;0.0009;0.963262;0.0355
nca1_train-54322118;0.9053645;0.002;0.96541125;0.029
nca1_train-56161238;0.90237025;0.0016;0.97058375;0.0365
nca1_train-73778677;0.80282975;0.0007;0.943933;0.0223
nca1_train2-3982903;0.85531325;0.0006;0.942327;0.0169
nca1_train2-4654079;0.76102575;0.0001;0.94499025;0.0039
nca1_train2-7449998;0.564333;0.0;0.9109215;0.0011
nca1_train2-2949998;0.89792725;0.0003;0.9515315;0.0164
nca1_train2-6069419;0.8435545;0.0004;0.943363;0.0089
nca1_train2-0;0.6134245;0.0;0.72786125;0.0
nca1_train2-5298779;0.90257925;0.0008;0.966189;0.019
nca1_train3-7412272;0.8995215;0.0003;0.9540325;0.0129
nca1_train3-4788118;0.808706;0.0001;0.93588175;0.0019
nca1_train3-8040757;0.8942585;0.0004;0.955758;0.0151
nca1_train3-3540757;0.89573925;0.0002;0.94910725;0.0088
nca1_train3-5488439;0.82052325;0.0002;0.95107175;0.0053
nca1_train3-0;0.41170125;0.0;0.687733;0.0
nca1_train3-5498097;0.90024625;0.0003;0.96465475;0.0106
nca1_train4-6725688;0.9011535;0.0003;0.9542945;0.0123
nca1_train4-6491757;0.868151;0.0003;0.95329825;0.0101
nca1_train4-7278139;0.88396375;0.0008;0.9625735;0.0186
nca1_train4-2778139;0.90101075;0.0003;0.9597645;0.0099
nca1_train4-5559599;0.65183625;0.0002;0.92471875;0.0018
nca1_train4-0;0.27095375;0.0;0.742147;0.0
nca1_train4-5442655;0.901721;0.0002;0.961937;0.0085
nca1_train_on_endstate-1093260;0.73537375;0.0;0.78397725;0.0
nca1_train_on_endstate-1341780;0.721473;0.0;0.8045355;0.0
nca1_train_on_endstate-4500000;0.753348;0.0;0.781426;0.0
nca1_train_on_endstate-255239;0.66336375;0.0;0.803967;0.0
nca1_train_on_endstate-0;0.4308905;0.0;0.66723575;0.0
nca1_train_on_endstate-55200;0.52263275;0.0;0.84577725;0.0
nca1_train_on_endstate2-911050;0.64990625;0.0;0.803112;0.0
nca1_train_on_endstate2-3517300;0.671711;0.0;0.7877735;0.0
nca1_train_on_endstate2-3750000;0.66447825;0.0;0.7879885;0.0
nca1_train_on_endstate2-3516199;0.724955;0.0;0.779802;0.0
nca1_train_on_endstate2-0;0.31218425;0.0;0.730287;0.0
nca1_train_on_endstate2-918000;0.62844425;0.0;0.80655725;0.0
nca1_train_on_endstate3-4158882;0.86178875;0.0001;0.9398645;0.0018
nca1_train_on_endstate3-4199399;0.49870475;0.0;0.8597815;0.0
nca1_train_on_endstate3-4744361;0.521682;0.0;0.85265875;0.0
nca1_train_on_endstate3-994361;0.756572;0.0;0.873195;0.0
nca1_train_on_endstate3-0;0.23656075;0.0;0.76954525;0.0
nca1_train_on_endstate3-3944949;0.6665895;0.0;0.905387;0.0006
nca_feedback_train-4473412;0.90121675;0.0004;0.95541825;0.0141
nca_feedback_train-4173176;0.79195875;0.0003;0.94020175;0.0084
nca_feedback_train-5520971;0.900986;0.0002;0.9517805;0.0111
nca_feedback_train-1020971;0.828648;0.0001;0.9445865;0.0021
nca_feedback_train-4173179;0.787058;0.0003;0.9388865;0.0088
nca_feedback_train-0;0.7625865;0.0;0.7768105;0.0
nca_feedback_train-4076399;0.89496125;0.0001;0.9627855;0.0073
