name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.781515;0.0;0.7912665;0.0
conv1_train-0;0.73551825;0.0;0.75655475;0.0
conv1_train-70874;0.74162775;0.0;0.776718;0.0
conv1_train-42348;0.76810675;0.0;0.778559;0.0
conv1_train2-35640;0.78076875;0.0;0.78991;0.0
conv1_train2-13323;0.781193;0.0;0.790483;0.0
conv1_train2-62766;0.77694925;0.0;0.78739;0.0
conv1_train2-49881;0.78033625;0.0;0.78958275;0.0
conv1_train2-0;0.78039075;0.0;0.78973875;0.0
conv1_train_on_endstate-5467;0.781007;0.0;0.79042125;0.0
conv1_train_on_endstate-10068;0.248183;0.0;0.76508525;0.0
conv1_train_on_endstate-2244;0.783181;0.0;0.79208575;0.0
conv1_train_on_endstate-0;0.7314655;0.0;0.7179275;0.0
conv1_train_on_endstate_2-510;0.2194015;0.0;0.78015925;0.0
conv1_train_on_endstate_2-1218;0.218418;0.0;0.78106125;0.0
conv1_train_on_endstate_2-803;0.21883475;0.0;0.7805525;0.0
conv1_train_on_endstate_2-0;0.2195215;0.0;0.77998925;0.0
conv1_train_on_endstate_3-9960;0.7817875;0.0;0.7907185;0.0
conv1_train_on_endstate_3-11522;0.782805;0.0;0.791714;0.0
conv1_train_on_endstate_3-11366;0.780997;0.0;0.79036725;0.0
conv1_train_on_endstate_3-0;0.7279385;0.0;0.76696925;0.0
conv1_train_on_endstate_4-10358;0.78118;0.0;0.790422;0.0
conv1_train_on_endstate_4-2826;0.780482;0.0;0.7900185;0.0
conv1_train_on_endstate_4-3785;0.78134375;0.0;0.7907355;0.0
conv1_train_on_endstate_4-13590;0.78085175;0.0;0.78977275;0.0
conv1_train_on_endstate_4-11366;0.78144425;0.0;0.79069125;0.0
conv1_train_on_endstate_4-0;0.77172325;0.0;0.787125;0.0
conv1_train_on_endstate_5-19211;0.78018675;0.0;0.789435;0.0
conv1_train_on_endstate_5-23229;0.24420225;0.0;0.77455775;0.0
conv1_train_on_endstate_5-18360;0.78173975;0.0;0.79070675;0.0
conv1_train_on_endstate_5-5023;0.243517;0.0;0.7743955;0.0
