name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.7685855;0.0;0.791226;0.0
conv1_train-0;0.766788;0.0;0.7911865;0.0
conv1_train-70874;0.750535;0.0;0.77690375;0.0
conv1_train-42348;0.764853;0.0;0.7882515;0.0
conv1_train2-35640;0.76841675;0.0;0.79047325;0.0
conv1_train2-13323;0.76861775;0.0;0.78985375;0.0
conv1_train2-62766;0.7667565;0.0;0.79099275;0.0
conv1_train2-49881;0.7633765;0.0;0.78769;0.0
conv1_train2-0;0.2351795;0.0;0.7823345;0.0
conv1_train_on_endstate-5467;0.76863225;0.0;0.79061;0.0
conv1_train_on_endstate-10068;0.287413;0.0;0.75829375;0.0
conv1_train_on_endstate-2244;0.767776;0.0;0.7894085;0.0
conv1_train_on_endstate-0;0.458231;0.0;0.69416725;0.0
conv1_train_on_endstate_2-510;0.231379;0.0;0.78136;0.0
conv1_train_on_endstate_2-1218;0.23245775;0.0;0.7807275;0.0
conv1_train_on_endstate_2-803;0.231177;0.0;0.7820305;0.0
conv1_train_on_endstate_2-0;0.2319135;0.0;0.7817395;0.0
conv1_train_on_endstate_3-9960;0.76952175;0.0;0.79134175;0.0
conv1_train_on_endstate_3-11522;0.767256;0.0;0.789868;0.0
conv1_train_on_endstate_3-11366;0.76780275;0.0;0.78997875;0.0
conv1_train_on_endstate_3-0;0.26277325;0.0;0.7552755;0.0
conv1_train_on_endstate_4-10358;0.7658925;0.0;0.7882295;0.0
conv1_train_on_endstate_4-2826;0.76912375;0.0;0.79130425;0.0
conv1_train_on_endstate_4-3785;0.76744875;0.0;0.79023075;0.0
conv1_train_on_endstate_4-13590;0.7686705;0.0;0.79067025;0.0
conv1_train_on_endstate_4-11366;0.770147;0.0;0.79238775;0.0
conv1_train_on_endstate_4-0;0.70863025;0.0;0.7597625;0.0
conv1_train_on_endstate_5-19211;0.76895025;0.0;0.791361;0.0
conv1_train_on_endstate_5-23229;0.269493;0.0;0.76490425;0.0
conv1_train_on_endstate_5-18360;0.76696875;0.0;0.78936075;0.0
conv1_train_on_endstate_5-5023;0.2576445;0.0;0.77345;0.0
conv1_train_on_endstate_5-11366;0.7682095;0.0;0.79024375;0.0
conv1_train_on_endstate_5-0;0.7382;0.0;0.73575925;0.0
conv1_train_grok-0;0.738543;0.0;0.7471805;0.0
conv1_train_grok2-0;0.7686975;0.0;0.791186;0.0
conv1_train_grok3_0-0;0.76672475;0.0;0.78870375;0.0
conv1_train_grok3_1-0;0.76907425;0.0;0.790611;0.0
conv1_train_grok3_1-9911;0.664352;0.0;0.72394625;0.0
conv1_train_grok3_1-26668;0.76840025;0.0;0.78985175;0.0
conv1_train_grok3_1-31198;0.4626765;0.0;0.724461;0.0
nca1_train-5073359;0.91010375;0.0009;0.96466325;0.0341
nca1_train-2782119;0.91013975;0.0011;0.965172;0.0222
nca1_train-5782119;0.90657325;0.0004;0.95828025;0.0179
nca1_train-3605196;0.90981825;0.0007;0.96376025;0.0218
nca1_train-0;0.241864;0.0;0.78157275;0.0
nca1_train-4540156;0.88272275;0.0007;0.96844725;0.0213
nca1_train-16157077;0.78076;0.001;0.947768;0.033
nca1_train-22215718;0.72578775;0.001;0.944599;0.0127
nca1_train-6384033;0.91154675;0.0024;0.96303575;0.0282
nca1_train-18836238;0.8609935;0.0008;0.955826;0.0239
nca1_train-9315914;0.910503;0.001;0.9709225;0.0368
nca1_train-37494118;0.78769025;0.0007;0.95773775;0.0201
nca1_train-40247519;0.908952;0.001;0.96260425;0.0258
nca1_train-40314077;0.911238;0.0015;0.96504975;0.039
nca1_train-40257477;0.78482625;0.0012;0.95178025;0.024
nca1_train-40247945;0.88189875;0.0007;0.965759;0.031
nca1_train-40257478;0.7842425;0.0014;0.9519705;0.0247
nca1_train-40274678;0.87459075;0.001;0.96619375;0.04
nca1_train-40969034;0.89865075;0.0017;0.9675155;0.036
nca1_train-41054671;0.89414625;0.0016;0.965893;0.0292
nca1_train-41214078;0.78232075;0.0013;0.95866425;0.0234
nca1_train-41731798;0.90502175;0.0019;0.9681395;0.035
nca1_train-43074918;0.9105875;0.0013;0.9657415;0.0309
