name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.3794205;0.0;0.77282275;0.0
conv1_train-0;0.55005075;0.0;0.701027;0.0
conv1_train-70874;0.7559885;0.0;0.82718775;0.0
conv1_train-42348;0.3150285;0.0;0.79178475;0.0
conv1_train2-35640;0.754829;0.0;0.82681775;0.0
conv1_train2-13323;0.755404;0.0;0.8269375;0.0
conv1_train2-62766;0.75509475;0.0;0.82686475;0.0
conv1_train2-49881;0.754412;0.0;0.825437;0.0
conv1_train2-0;0.6718455;0.0;0.75775675;0.0
conv1_train_on_endstate-5467;0.75618675;0.0;0.826428;0.0
conv1_train_on_endstate-10068;0.26185175;0.0;0.808498;0.0
conv1_train_on_endstate-2244;0.7554805;0.0;0.827694;0.0
conv1_train_on_endstate-0;0.72633525;0.0;0.80350775;0.0
conv1_train_on_endstate_2-510;0.242147;0.0;0.81865575;0.0
conv1_train_on_endstate_2-1218;0.24452975;0.0;0.820384;0.0
conv1_train_on_endstate_2-803;0.2446575;0.0;0.819344;0.0
conv1_train_on_endstate_2-0;0.24477925;0.0;0.818931;0.0
conv1_train_on_endstate_3-9960;0.75457375;0.0;0.826997;0.0
conv1_train_on_endstate_3-11522;0.757416;0.0;0.82694825;0.0
conv1_train_on_endstate_3-11366;0.7554225;0.0;0.8271765;0.0
conv1_train_on_endstate_3-0;0.29842775;0.0;0.75551725;0.0
conv1_train_on_endstate_4-10358;0.75659675;0.0;0.8273935;0.0
conv1_train_on_endstate_4-2826;0.759015;0.0;0.8260425;0.0
conv1_train_on_endstate_4-3785;0.75733275;0.0;0.827531;0.0
conv1_train_on_endstate_4-13590;0.75437075;0.0;0.827464;0.0
conv1_train_on_endstate_4-11366;0.7570485;0.0;0.82658075;0.0
conv1_train_on_endstate_4-0;0.586038;0.0;0.676116;0.0
conv1_train_on_endstate_5-19211;0.75598375;0.0;0.827753;0.0
conv1_train_on_endstate_5-23229;0.26807125;0.0;0.804634;0.0
conv1_train_on_endstate_5-18360;0.7568495;0.0;0.82642125;0.0
conv1_train_on_endstate_5-5023;0.2884665;0.0;0.78811;0.0
conv1_train_on_endstate_5-11366;0.75915825;0.0;0.827113;0.0
conv1_train_on_endstate_5-0;0.24977325;0.0;0.81719425;0.0
conv1_train_grok-0;0.24772625;0.0;0.8184;0.0
conv1_train_grok2-0;0.75768675;0.0;0.825972;0.0
conv1_train_grok3_0-0;0.75627;0.0;0.82718725;0.0
conv1_train_grok3_1-0;0.756639;0.0;0.827825;0.0
conv1_train_grok3_1-9911;0.74547925;0.0;0.81978;0.0
conv1_train_grok3_1-26668;0.3166355;0.0;0.794925;0.0
conv1_train_grok3_1-31198;0.75161525;0.0;0.82612325;0.0
