name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
nca1_train_on_endstate-55200;0.50776025;0.0;0.859285;0.0
nca1_train_on_endstate2-911050;0.66017575;0.0;0.821309;0.0
nca1_train_on_endstate2-3517300;0.69559175;0.0006;0.81042725;0.0049
nca1_train_on_endstate2-3750000;0.69009475;0.0001;0.81068575;0.005
nca1_train_on_endstate2-3516199;0.74595125;0.0002;0.8060225;0.0055
nca1_train_on_endstate2-0;0.32589;0.0;0.757266;0.0
nca1_train_on_endstate2-918000;0.63519425;0.0;0.82555925;0.0
nca1_train_on_endstate3-4158882;0.839548;0.0006;0.94614525;0.0184
nca1_train_on_endstate3-4199399;0.47773525;0.0;0.873067;0.0144
nca1_train_on_endstate3-4744361;0.48336975;0.0004;0.8638425;0.0126
nca1_train_on_endstate3-994361;0.75623625;0.0004;0.89386325;0.0126
nca1_train_on_endstate3-0;0.25311625;0.0;0.794862;0.0049
nca1_train_on_endstate3-3944949;0.63528225;0.0002;0.913704;0.0182
nca_feedback_train-4473412;0.90592975;0.0008;0.9640995;0.0265
nca_feedback_train-4173176;0.75572775;0.0007;0.9474355;0.0175
nca_feedback_train-5520971;0.90385225;0.0007;0.9608325;0.0272
nca_feedback_train-1020971;0.79593075;0.0001;0.95121375;0.0107
nca_feedback_train-4173179;0.75539925;0.0012;0.9456495;0.0175
nca_feedback_train-0;0.746256;0.0;0.80272825;0.0
nca_feedback_train-4076399;0.9020665;0.0004;0.96860875;0.0195
