name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.57109025;0.0;0.893154;0.0
conv1_train-0;0.5727465;0.0;0.8934455;0.0
conv1_train-70874;0.5733345;0.0;0.89316025;0.0
conv1_train-42348;0.570768;0.0;0.89236825;0.0
conv1_train2-35640;0.572506;0.0;0.89341025;0.0
conv1_train2-13323;0.572599;0.0;0.893074;0.0
conv1_train2-62766;0.57467025;0.0;0.89334175;0.0
conv1_train2-49881;0.572418;0.0;0.89331875;0.0
conv1_train2-0;0.42599975;0.0;0.83893475;0.0
conv1_train_on_endstate-5467;0.5692125;0.0;0.8940485;0.0
conv1_train_on_endstate-10068;0.42126625;0.0;0.8737515;0.0
conv1_train_on_endstate-2244;0.57157025;0.0;0.89325875;0.0
conv1_train_on_endstate-0;0.56608;0.0;0.83956925;0.0
conv1_train_on_endstate_2-510;0.42785325;0.0;0.89079;0.0
conv1_train_on_endstate_2-1218;0.43073925;0.0;0.8912615;0.0
conv1_train_on_endstate_2-803;0.42537725;0.0;0.890542;0.0
conv1_train_on_endstate_2-0;0.426538;0.0;0.890406;0.0
conv1_train_on_endstate_3-9960;0.5706145;0.0;0.89359325;0.0
conv1_train_on_endstate_3-11522;0.57159375;0.0;0.89342;0.0
conv1_train_on_endstate_3-11366;0.5722305;0.0;0.89336025;0.0
conv1_train_on_endstate_3-0;0.4339835;0.0;0.87519;0.0
conv1_train_on_endstate_4-10358;0.57156825;0.0;0.89302325;0.0
conv1_train_on_endstate_4-2826;0.5701465;0.0;0.89313525;0.0
conv1_train_on_endstate_4-3785;0.5745535;0.0;0.89247125;0.0
conv1_train_on_endstate_4-13590;0.57225575;0.0;0.8935665;0.0
conv1_train_on_endstate_4-11366;0.5742755;0.0;0.8926905;0.0
conv1_train_on_endstate_4-0;0.57502075;0.0;0.86769975;0.0
conv1_train_on_endstate_5-19211;0.5725615;0.0;0.89260825;0.0
conv1_train_on_endstate_5-23229;0.42745625;0.0;0.88979075;0.0
conv1_train_on_endstate_5-18360;0.57330825;0.0;0.89325175;0.0
conv1_train_on_endstate_5-5023;0.41913975;0.0;0.85371325;0.0
conv1_train_on_endstate_5-11366;0.57353075;0.0;0.8933145;0.0
conv1_train_on_endstate_5-0;0.56946675;0.0;0.89387725;0.0
conv1_train_grok-0;0.57097525;0.0;0.8931545;0.0
conv1_train_grok2-0;0.57275525;0.0;0.8934455;0.0
conv1_train_grok3_0-0;0.573257;0.0;0.89316075;0.0
conv1_train_grok3_1-0;0.57092625;0.0;0.89301925;0.0
conv1_train_grok3_1-9911;0.5727955;0.0;0.8837495;0.0
conv1_train_grok3_1-26668;0.4387;0.0;0.866512;0.0
conv1_train_grok3_1-31198;0.49804725;0.0;0.7415235;0.0
nca1_train-5073359;0.84915275;0.0;0.9747885;0.0125
nca1_train-2782119;0.80130525;0.0;0.97432475;0.0107
nca1_train-5782119;0.6944755;0.0;0.97252425;0.0029
nca1_train-3605196;0.629509;0.0;0.97049175;0.0028
nca1_train-0;0.43018175;0.0;0.8909895;0.0
nca1_train-4540156;0.57062625;0.0;0.9715625;0.0012
nca1_train-16157077;0.503275;0.0;0.967417;0.0004
nca1_train-22215718;0.50157625;0.0;0.96783975;0.0003
nca1_train-6384033;0.8032575;0.0;0.97630725;0.0182
nca1_train-18836238;0.5423505;0.0;0.9669185;0.0023
nca1_train-9315914;0.84663625;0.0;0.97438775;0.0073
nca1_train-37494118;0.510618;0.0;0.96679475;0.0005
nca1_train-40247519;0.84788175;0.0;0.97661525;0.0253
nca1_train-40314077;0.812564;0.0;0.976525;0.0206
nca1_train-40257477;0.510941;0.0;0.968086;0.0006
nca1_train-40247945;0.5561505;0.0;0.967192;0.0025
nca1_train-40257478;0.5134945;0.0;0.96778725;0.0011
nca1_train-40274678;0.58577875;0.0;0.9690635;0.0063
nca1_train-40969034;0.63774725;0.0;0.97172725;0.0064
nca1_train-41054671;0.588897;0.0001;0.97022275;0.0097
nca1_train-41214078;0.5042745;0.0;0.9666805;0.0002
nca1_train-41731798;0.84820475;0.0001;0.9769605;0.0269
nca1_train-43074918;0.7937315;0.0;0.9763855;0.0161
nca1_train-43513877;0.51456575;0.0;0.96548875;0.0004
nca1_train-43513878;0.51416425;0.0001;0.96557;0.0005
nca1_train-46601955;0.8137175;0.0;0.97593775;0.0186
nca1_train-50928276;0.7685325;0.0001;0.96041875;0.0155
nca1_train-54322118;0.695464;0.0002;0.9718295;0.0146
nca1_train-56161238;0.822919;0.0;0.979096;0.046
nca1_train-73778677;0.50526675;0.0;0.960538;0.0002
nca1_train2-3982903;0.56947725;0.0001;0.961985;0.0004
nca1_train2-4654079;0.5484745;0.0001;0.9662565;0.0002
nca1_train2-7449998;0.49468475;0.0;0.9644895;0.0
nca1_train2-2949998;0.8458375;0.0001;0.972199;0.0064
nca1_train2-6069419;0.54827625;0.0;0.965097;0.0006
nca1_train2-0;0.33845775;0.0;0.85528625;0.0
nca1_train2-5298779;0.844815;0.0;0.97326025;0.0092
nca1_train3-7412272;0.8417865;0.0;0.965451;0.0031
nca1_train3-4788118;0.51236;0.0;0.95800975;0.0
nca1_train3-8040757;0.84212775;0.0;0.96545025;0.0044
nca1_train3-3540757;0.840333;0.0;0.966328;0.0092
nca1_train3-5488439;0.52530075;0.0;0.96562325;0.0003
nca1_train3-0;0.40237425;0.0;0.84133375;0.0
nca1_train3-5498097;0.772132;0.0001;0.9700645;0.0031
nca1_train4-6725688;0.8434545;0.0;0.9756155;0.0083
nca1_train4-6491757;0.56019775;0.0;0.9669105;0.0006
nca1_train4-7278139;0.635194;0.0;0.969062;0.0024
nca1_train4-2778139;0.84206625;0.0002;0.9727785;0.0089
nca1_train4-5559599;0.49950275;0.0;0.966114;0.0
nca1_train4-0;0.41635375;0.0;0.874415;0.0
nca1_train4-5442655;0.838554;0.0;0.97078925;0.003
nca1_train_on_endstate-1093260;0.703605;0.0;0.89650675;0.0
nca1_train_on_endstate-1341780;0.728029;0.0;0.90672925;0.0
nca1_train_on_endstate-4500000;0.63253775;0.0;0.895557;0.0
nca1_train_on_endstate-255239;0.664656;0.0;0.90315525;0.0
nca1_train_on_endstate-0;0.4127595;0.0;0.8180045;0.0
nca1_train_on_endstate-55200;0.5904045;0.0;0.920467;0.0
nca1_train_on_endstate2-911050;0.655304;0.0;0.89775675;0.0
nca1_train_on_endstate2-3517300;0.6881435;0.0;0.90390225;0.0
nca1_train_on_endstate2-3750000;0.7229575;0.0;0.9011875;0.0
nca1_train_on_endstate2-3516199;0.7317845;0.0;0.902009;0.0
nca1_train_on_endstate2-0;0.43383575;0.0;0.86775625;0.0
nca1_train_on_endstate2-918000;0.61474675;0.0;0.8943535;0.0
nca1_train_on_endstate3-4158882;0.5213215;0.0;0.95265225;0.0001
nca1_train_on_endstate3-4199399;0.4912625;0.0;0.95055825;0.0
nca1_train_on_endstate3-4744361;0.47835175;0.0;0.938869;0.0
nca1_train_on_endstate3-994361;0.6391855;0.0;0.94791425;0.0001
nca1_train_on_endstate3-0;0.42802975;0.0;0.89123025;0.0
nca1_train_on_endstate3-3944949;0.50148125;0.0;0.9545005;0.0
nca_feedback_train-4473412;0.81350925;0.0;0.9742975;0.0063
nca_feedback_train-4173176;0.49740875;0.0;0.96859175;0.0001
nca_feedback_train-5520971;0.8418675;0.0001;0.97333425;0.0075
nca_feedback_train-1020971;0.50451475;0.0;0.96493675;0.0002
nca_feedback_train-4173179;0.49815475;0.0;0.96846025;0.0001
nca_feedback_train-0;0.57259525;0.0;0.89307875;0.0
nca_feedback_train-4076399;0.83932625;0.0;0.97314275;0.0066
