name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.126064;0.0;0.95755725;0.0
conv1_train-0;0.102004;0.0;0.97585075;0.0
conv1_train-70874;0.23046475;0.0;0.93635325;0.0
conv1_train-42348;0.0999195;0.0;0.975802;0.0
conv1_train2-35640;0.09998475;0.0;0.9756985;0.0
conv1_train2-13323;0.10197725;0.0;0.975662;0.0
conv1_train2-62766;0.12381725;0.0;0.94844225;0.0
conv1_train2-49881;0.1690755;0.0;0.86789475;0.0
conv1_train2-0;0.099976;0.0;0.97584725;0.0
conv1_train_on_endstate-5467;0.100115;0.0;0.9757245;0.0
conv1_train_on_endstate-10068;0.8946365;0.0;0.97757375;0.0001
conv1_train_on_endstate-2244;0.10009725;0.0;0.97561725;0.0
conv1_train_on_endstate-0;0.138008;0.0;0.89875125;0.0
conv1_train_on_endstate_2-510;0.900036;0.0;0.98467325;0.0182
conv1_train_on_endstate_2-1218;0.899973;0.0;0.984634;0.0191
conv1_train_on_endstate_2-803;0.8999625;0.0;0.98467175;0.0196
conv1_train_on_endstate_2-0;0.89986275;0.0;0.9847;0.0188
conv1_train_on_endstate_3-9960;0.09986925;0.0;0.97573375;0.0
conv1_train_on_endstate_3-11522;0.0998545;0.0;0.9756265;0.0
conv1_train_on_endstate_3-11366;0.10004775;0.0;0.975719;0.0
conv1_train_on_endstate_3-0;0.8999105;0.0;0.98465075;0.019
conv1_train_on_endstate_4-10358;0.10004725;0.0;0.97583125;0.0
conv1_train_on_endstate_4-2826;0.10001225;0.0;0.97568725;0.0
conv1_train_on_endstate_4-3785;0.09996925;0.0;0.97568025;0.0
conv1_train_on_endstate_4-13590;0.10001225;0.0;0.97574025;0.0
conv1_train_on_endstate_4-11366;0.10009275;0.0;0.97571625;0.0
conv1_train_on_endstate_4-0;0.2154205;0.0;0.8672215;0.0
conv1_train_on_endstate_5-19211;0.099814;0.0;0.975886;0.0
conv1_train_on_endstate_5-23229;0.89163575;0.0;0.9800135;0.0001
conv1_train_on_endstate_5-18360;0.10012075;0.0;0.975596;0.0
conv1_train_on_endstate_5-5023;0.810122;0.0;0.9017405;0.0
conv1_train_on_endstate_5-11366;0.10014425;0.0;0.97569225;0.0
conv1_train_on_endstate_5-0;0.206065;0.0;0.86477;0.0
conv1_train_grok-0;0.10097925;0.0;0.975684;0.0
conv1_train_grok2-0;0.100008;0.0;0.97585075;0.0
conv1_train_grok3_0-0;0.0999065;0.0;0.97588625;0.0
conv1_train_grok3_1-0;0.0999195;0.0;0.975802;0.0
conv1_train_grok3_1-9911;0.46309975;0.0;0.75434025;0.0
conv1_train_grok3_1-26668;0.16881275;0.0;0.8834585;0.0
conv1_train_grok3_1-31198;0.445808;0.0;0.7800855;0.0
nca1_train-5073359;0.903175;0.0;0.995503;0.168
nca1_train-2782119;0.90514675;0.0;0.997112;0.333
nca1_train-5782119;0.9038525;0.0;0.99767625;0.4155
nca1_train-3605196;0.902997;0.0;0.99739225;0.3795
nca1_train-0;0.8963175;0.0;0.9846585;0.0188
nca1_train-4540156;0.904783;0.0;0.99677875;0.2767
nca1_train-16157077;0.90171725;0.0;0.99861325;0.5984
nca1_train-22215718;0.900505;0.0;0.99867025;0.6235
nca1_train-6384033;0.90453425;0.0;0.9972395;0.3304
nca1_train-18836238;0.904972;0.0;0.99768425;0.4029
nca1_train-9315914;0.90216675;0.0;0.99657875;0.2654
nca1_train-37494118;0.90534375;0.0;0.99699375;0.3115
nca1_train-40247519;0.9048855;0.0;0.997338;0.3705
