name;initial_state_accuracy_micro;initial_state_accuracy_macro;end_state_accuracy_micro;end_state_accuracy_macro
conv1_train-90665;0.8825365;0.0;0.95043325;0.0
conv1_train-0;0.89302475;0.0;0.9512365;0.0
conv1_train-70874;0.89304725;0.0;0.951356;0.0
conv1_train-42348;0.8867425;0.0;0.9481515;0.0001
conv1_train2-35640;0.82622575;0.0;0.89997575;0.0
conv1_train2-13323;0.89283275;0.0;0.9513965;0.0
conv1_train2-62766;0.772207;0.0;0.85671525;0.0
conv1_train2-49881;0.8928805;0.0;0.9513205;0.0
conv1_train2-0;0.83031525;0.0;0.91281625;0.0
conv1_train_on_endstate-5467;0.89305275;0.0;0.95122625;0.0
conv1_train_on_endstate-10068;0.15777175;0.0;0.91408775;0.0
conv1_train_on_endstate-2244;0.892901;0.0;0.95101475;0.0
conv1_train_on_endstate-0;0.89078675;0.0;0.950887;0.0
conv1_train_on_endstate_2-510;0.1069615;0.0;0.9415025;0.0
conv1_train_on_endstate_2-1218;0.10689625;0.0;0.941483;0.0
conv1_train_on_endstate_2-803;0.106816;0.0;0.94160025;0.0
conv1_train_on_endstate_2-0;0.10686425;0.0;0.94154675;0.0
conv1_train_on_endstate_3-9960;0.8929565;0.0;0.95123575;0.0
conv1_train_on_endstate_3-11522;0.893117;0.0;0.95105975;0.0
conv1_train_on_endstate_3-11366;0.8929555;0.0;0.95112475;0.0
conv1_train_on_endstate_3-0;0.88890675;0.0;0.949633;0.0
conv1_train_on_endstate_4-10358;0.89285475;0.0;0.95124625;0.0
conv1_train_on_endstate_4-2826;0.8930365;0.0;0.9512285;0.0
conv1_train_on_endstate_4-3785;0.89298125;0.0;0.95112475;0.0
conv1_train_on_endstate_4-13590;0.89309425;0.0;0.9512285;0.0
conv1_train_on_endstate_4-11366;0.89302375;0.0;0.95110725;0.0
conv1_train_on_endstate_4-0;0.89321325;0.0;0.95133575;0.0
conv1_train_on_endstate_5-19211;0.8930905;0.0;0.9515285;0.0
conv1_train_on_endstate_5-23229;0.1828155;0.0;0.90056925;0.0
conv1_train_on_endstate_5-18360;0.89301025;0.0;0.95106275;0.0
conv1_train_on_endstate_5-5023;0.15374025;0.0;0.90895725;0.0
conv1_train_on_endstate_5-11366;0.8928105;0.0;0.95116475;0.0
conv1_train_on_endstate_5-0;0.1587885;0.0;0.895808;0.0
conv1_train_grok-0;0.87780925;0.0;0.9360765;0.0
conv1_train_grok2-0;0.89302475;0.0;0.9512365;0.0
conv1_train_grok3_0-0;0.89311075;0.0;0.951356;0.0
conv1_train_grok3_1-0;0.8929845;0.0;0.9514555;0.0001
conv1_train_grok3_1-9911;0.46677775;0.0;0.834378;0.0
conv1_train_grok3_1-26668;0.7576285;0.0;0.85536925;0.0
conv1_train_grok3_1-31198;0.88740075;0.0;0.9489735;0.0
nca1_train-5073359;0.9067875;0.0;0.9847765;0.0243
nca1_train-2782119;0.86917725;0.0001;0.9844;0.016
nca1_train-5782119;0.673186;0.0;0.9790075;0.006
nca1_train-3605196;0.51452725;0.0;0.97648025;0.0021
nca1_train-0;0.114954;0.0;0.941178;0.0
nca1_train-4540156;0.3396335;0.0;0.97419025;0.0006
nca1_train-16157077;0.2197905;0.0;0.968195;0.0002
nca1_train-22215718;0.2315175;0.0;0.96840775;0.0001
nca1_train-6384033;0.861697;0.0;0.984671;0.0202
nca1_train-18836238;0.32197625;0.0;0.96990375;0.0009
nca1_train-9315914;0.905146;0.0;0.98407325;0.0125
nca1_train-37494118;0.26857325;0.0;0.9687525;0.0002
nca1_train-40247519;0.88719925;0.0;0.98417725;0.0206
nca1_train-40314077;0.84135875;0.0;0.98507775;0.0253
nca1_train-40257477;0.268926;0.0;0.9706685;0.0009
nca1_train-40247945;0.350679;0.0;0.96975075;0.0017
nca1_train-40257478;0.268702;0.0;0.97080625;0.0009
nca1_train-40274678;0.47367675;0.0;0.974917;0.0075
nca1_train-40969034;0.54910575;0.0;0.976828;0.0081
nca1_train-41054671;0.39631025;0.0;0.97338875;0.0064
nca1_train-41214078;0.21390325;0.0;0.96992525;0.0003
nca1_train-41731798;0.903693;0.0;0.98563;0.0239
nca1_train-43074918;0.90068975;0.0;0.9845845;0.0148
nca1_train-43513877;0.310072;0.0;0.96576175;0.0001
nca1_train-43513878;0.32166425;0.0;0.96565375;0.0001
nca1_train-46601955;0.8758405;0.0001;0.98498175;0.0183
nca1_train-50928276;0.85853325;0.0;0.9834045;0.0123
nca1_train-54322118;0.89147325;0.0001;0.985243;0.0209
nca1_train-56161238;0.9050865;0.0;0.98769325;0.0517
nca1_train-73778677;0.34847625;0.0;0.96619975;0.0
nca1_train2-3982903;0.50598875;0.0;0.96733575;0.0002
nca1_train2-4654079;0.491236;0.0;0.969644;0.0
nca1_train2-7449998;0.2321355;0.0;0.966783;0.0
nca1_train2-2949998;0.9069935;0.0;0.98447825;0.0126
nca1_train2-6069419;0.4663805;0.0;0.96827875;0.0011
nca1_train2-0;0.18182075;0.0;0.9266225;0.0
nca1_train2-5298779;0.90531225;0.0;0.9856125;0.0176
nca1_train3-7412272;0.90618725;0.0;0.984748;0.0143
nca1_train3-4788118;0.26664075;0.0;0.96587425;0.0
nca1_train3-8040757;0.90451375;0.0;0.98358425;0.0081
nca1_train3-3540757;0.9052845;0.0;0.9854555;0.0181
nca1_train3-5488439;0.39248025;0.0;0.96956125;0.0003
nca1_train3-0;0.17100625;0.0;0.92407375;0.0
nca1_train3-5498097;0.89610225;0.0;0.983145;0.0085
nca1_train4-6725688;0.90557975;0.0;0.98598275;0.0181
nca1_train4-6491757;0.342182;0.0;0.97087075;0.0005
nca1_train4-7278139;0.430517;0.0;0.97402125;0.006
nca1_train4-2778139;0.903001;0.0;0.98601025;0.0187
nca1_train4-5559599;0.2132695;0.0;0.9690055;0.0
nca1_train4-0;0.1469435;0.0;0.898883;0.0
nca1_train4-5442655;0.90421175;0.0;0.9837035;0.0127
nca1_train_on_endstate-1093260;0.893091;0.0;0.951473;0.0
nca1_train_on_endstate-1341780;0.891481;0.0;0.95559225;0.0001
nca1_train_on_endstate-4500000;0.89300575;0.0;0.950822;0.0
nca1_train_on_endstate-255239;0.892742;0.0;0.95169375;0.0001
nca1_train_on_endstate-0;0.18025;0.0;0.9059445;0.0
nca1_train_on_endstate-55200;0.87193025;0.0;0.95154775;0.0
nca1_train_on_endstate2-911050;0.892901;0.0;0.95125125;0.0001
nca1_train_on_endstate2-3517300;0.8920615;0.0;0.951302;0.0
nca1_train_on_endstate2-3750000;0.89132;0.0;0.951169;0.0001
nca1_train_on_endstate2-3516199;0.893103;0.0;0.95152625;0.0
nca1_train_on_endstate2-0;0.17882625;0.0;0.9129265;0.0
nca1_train_on_endstate2-918000;0.892915;0.0;0.9510755;0.0
nca1_train_on_endstate3-4158882;0.22788275;0.0;0.962127;0.0
nca1_train_on_endstate3-4199399;0.14933175;0.0;0.95810625;0.0
nca1_train_on_endstate3-4744361;0.13774775;0.0;0.953135;0.0
nca1_train_on_endstate3-994361;0.543449;0.0;0.961927;0.0001
nca1_train_on_endstate3-0;0.11182875;0.0;0.94171425;0.0
nca1_train_on_endstate3-3944949;0.17034;0.0;0.96086725;0.0
nca_feedback_train-4473412;0.88577975;0.0;0.985236;0.0153
